url,img,discription
https://www.ebay.com/itm/388785002690?itmmeta=01KWF1MP4YVC1CP41JDWW05N3N&hash=item5a856458c2:g:2LYAAOSwGeFmB6uO&itmprp=enc%3AAQALAAAAwDKQclQvzFwZQpmMrsO4LupCgjNfbhZ1FVo56Q4m3cl9CvamFk6IGnhlzSn94lrunr8eCmS2BN4tXgKnfX7t5NAUawxFFcQggEs2bQah9N1T9oYhN4OTSPcFUNEv1wMJua%2F0s3nnlnomycYi2jmTHl8amDO7kCqAW%2B06wkq6E3cXfF6Sh1j%2BjLLrm8RBOq6aPrRrzHzLOkvSO0gCFK4vQgnoqVK59%2Fml%2FFO8%2BOLLJzYAOju7VPvJlilCn9LyDynIGQ%3D%3D%7Ctkp%3ABk9SR8ji0uHjZw&var=655900955970,./ebay_files/s-l960(28).webp,45W Super Fast Charging USB Type C Wall Charger Cable✅Fit Samsung Galaxy S23 S22 - Image 1 of 4
https://www.ebay.com/itm/307024657155?itmmeta=01KWF1MP4Y3RYZT0FWT13YN1H3&hash=item477c187b03:g:xB0AAeSw4PlqPUvb&itmprp=enc%3AAQALAAAAwDKQclQvzFwZQpmMrsO4LuoXUJbhn%2BJQTx0oYUvSnLFY%2Bb8KM7ZH62ILfQ9kDa61FG0fX024%2F5P2efpRR1A8MbWhkcm0b5%2Bnj%2Bur5R6TPqoQ%2BW5et0vcv93Ed9zvRes9dstcGE9OJ%2F%2BCGfRy23DIBxwY7jSTZKLqWyKMpZLYsMqP5yZz5is6e0ulnDYmcl4wUeEH9qz%2FPWpC6l2Gv0SHZT3kDEl22wsouRhacbdOJ5AiGE3sAfI8o5WPLg2NB4DSsw%3D%3D%7Ctkp%3ABk9SR8ji0uHjZw,./ebay_files/s-l960(29).webp,Motorola Razr 2023 5G XT2323-5 128GB Sage Green Unlocked Foldable Android Phone - Image 1 of 2
https://www.ebay.com/itm/318121175214?itmmeta=01KWF1MP4Y610GJSPY6DQSWE2T&hash=item4a117fe8ae:g:Lf0AAeSwG25p1hwF&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4LupbFHlsr%2FNEIb3tDd3IDgVp1X1bBgZH1BViK3CHIapKt30KdyAHwDUV23%2Bb%2FSAk8Inm7hz6OSumdWqw8jmLMniSH1S0HzY9luS8%2BU2hWUt9NdE1nIRs0VaYEnLx85GZASENc8ZWzxfq8enDLBkBRjwdkAy0BpbJFmb4XmYZiFLOMW1JkSX35teDNim66uDH0yGq4LKxjRiw1i8L%2Fp5INxo3OnqN6Z8hRwhla75Rr1D1nva7Bro52wFOLq8df8PLwfouqODao2nHn%2Fb9CfpYyfAJ%7Ctkp%3ABk9SR8ji0uHjZw,./ebay_files/s-l960(30).webp,"OUKITEL WP53S Rugged Smartphone 11000mAh 16GB+128GB 6.52"" IP68/IP69K T-Mobile - Image 1 of 4"
https://www.ebay.com/p/24052278109?iid=204769441593&var=505407818920,./ebay_files/s-l960(31).webp,Samsung Galaxy S22+ 5G SM-S906U1 128GB 256GB Unlocked Good - Image 1 of 4
https://www.ebay.com/itm/326314302722?epid=26049291214&itmmeta=01KWF1MP4YZ664S8N2AYF7WZR5&hash=item4bf9d91d02:g:qAwAAOSwhGpkCevP&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4Luoy0P3modmOc2r1zn%2ByBv5vkcAlH%2FBx58ppIw0QE7zyzyiFDAQRsMa3EcoIcNh7DrV8dKX0BAneWZ84erZhFOHCBtklrqUQS3ZB0e%2BIK3Y5bJaZwdo5qs9orJgXiyG%2FRTL50ILBoApvb6pyvwlnipTGYQEYwQmOwF2r9LWcVXSjmrDPpJOTGGppWRWyvU7dHGoAPSbbtxyIgtbhtuJ%2F%2B1upIr4YXajbyOWBeFNXl7WdwLM0cnzwUnfN4XZcnq1N6sfAcb5ctlZEcHel3BakHm0P%7Ctkp%3ABFBMyOLS4eNn&var=515441856434,./ebay_files/s_1x2.gif,"Apple iPhone 13 Mini, 128/256/512GB - Unlocked - Used  Good - All colors - Image 1 of 4"
https://www.ebay.com/itm/326721928692?epid=7041718861&itmmeta=01KWF1MP4YRRCQ81XB9B48VKDZ&hash=item4c1224fdf4:g:HlMAAOSwjzhkCfsi&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4LuqPkElfBzSMpPXg6KkGeOL1%2BJNiHcWoPGshEBjssqZiVfu%2FYi%2FTu77s1ZakSG1hdUF9yf%2FNxBCR1dRn5rOrWxFyURaBELo8alb8u%2FyQYfMPNUQXA%2FhwYSSf0HOszbNK%2FPFeht7d8BK4NoElUqcVtkqHfU9VbyRoIdX68%2BJnpHx%2F90T8lhZ95Hfrd1dPXcQSYarJOrW7wqkfWc%2F7m7NBZNqG%2Fon%2BjE%2F9gonK8WCjTPeYQaAGiStK8vb8PETz2agPqq%2B%2BeZfk9yksIsJeFmoZkp7p%7Ctkp%3ABFBMyOLS4eNn&var=515734602118,./ebay_files/s_1x2.gif,"Apple iPhone 12 Pro, 128/256/512GB - Fully Unlocked - Refurbished Excellent - Image 1 of 4"
https://www.ebay.com/itm/325859347437?epid=20056257992&itmmeta=01KWF1MP4YDSBF8H3075B05PWT&hash=item4bdebb0bed:g:tzUAAOSw1p5kB1Fw&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4LurLPPrQbE7ycGH3i1KDcNBnw5UrqJtMC2dCns4Xnx9d7uLuxxucJN22eF1CgPHQl5Rm8DCtfZ6lPvq78PadL6wQlW80dcDgvpRx%2FZ14ETQui4iJTz2fsQYRDtTrHqL6M7DKHpuvAsrfjoCs6v4BiZhuYNI4%2FCvrux3vaYVcTXrvo4HjzAupfsR6ZwnZQdEQwyZkgyxfv0fmbdiHSRzdnYpvNlFMwUADDHUgUn694trHuyAL9eQKmv1KKRZOMCd%2FZU8qCsN4eKuxugt7oKEjhxFB%7Ctkp%3ABFBMyOLS4eNn&var=514903059890,./ebay_files/s_1x2.gif,"Apple iPhone 14, 128GB-256GB-512GB, Unlocked - Used All Colors - Image 1 of 4"
https://www.ebay.com/itm/327194157221?epid=28041715467&itmmeta=01KWF1MP4YF5XZ0JDRJ1C9S7JJ&hash=item4c2e4aa0a5:g:VHAAAOSwgBxkCfYf&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4Luqh5CwBmbib5U12RhiE2CE1GWP8ZlXDnNVg7kBEdn%2BUs7xhTBCcFs3sCHS9XJ3gqQ9q%2BQq%2BL6DzC%2BNQPEwD5KLVK4muMLMnCkAG9Rl9AdXFi0hm5xYDSyKDVQ4sOblf0w4m11xXYLrw5yLqJT1Zqj9IxcCzWoCgkZZQgH87HW%2BNM9lGFzkURqnSzY%2BxlwpwbUFGj9XNX5bh9UaRWaKv4GjzcPfSaoJYaIfn7tQhULAaBS%2B9dzaeBSjClWN9Hpqs1BiVRVuYOfIeoMw5ppSXQDlU%7Ctkp%3ABFBMyOLS4eNn&var=516009653236,./ebay_files/s_1x2.gif,"Apple iPhone 12 Pro Max, 128/256/512GB - Unlocked -Used Excellent - Image 1 of 4"
https://www.ebay.com/p/7074872327?iid=127274451021&var=429103665612,./ebay_files/s-l960(32).webp,Samsung Galaxy S25 128GB 5G SM-S931U1 FACTORY UNLOCKED - CDMA + GSM - EXCELLENT - Image 1 of 1
https://www.ebay.com/p/5065009608?iid=256372465052&var=556454234753,./ebay_files/s-l960(33).webp,Samsung Galaxy S23 128GB S911U Unlocked - Good - Image 1 of 1
